Data,Modelo,Produto,Loja,Preco_USD,Preco_BRL,Codigo,Link_Produto,Link_Loja
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,Apple iPhone 17 Pro Max 256GB A3257 LL/A Esim - Orange,Xcell,1330.0,6929.3,33324,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-256gb-a3257-lla-esim-orange__5335643/,https://xcell.com.py/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,iPhone 17 Pro Max 256GB Silver JP,Empire Shop,1450.0,7554.5,1595-0,https://www.comprasparaguai.com.br/iphone-17-pro-max-256gb-silver-jp__5279017/,https://www.empireshop.com.py/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,Apple iPhone 17 Pro Max A3526 Dual 512 GB MFYU4BE/A - Deep Blue,Nissei,1620.0,8440.2,154798,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-a3526-dual-512-gb-mfyu4bea-deep-blue__5220337/,https://nissei.com/br/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,Apple iPhone 17 Pro Max A3257 Dual 512 GB - Silver,Nissei,1620.0,8440.2,145678,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-a3257-dual-512-gb-silver__5016337/,https://nissei.com/br/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,Apple iPhone 17 Pro Max A3257 Dual 512 GB - Cosmic Orange,Nissei,1590.0,8283.9,145676,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-a3257-dual-512-gb-cosmic-orange__5016335/,https://nissei.com/br/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,Apple iPhone 17 Pro Max 512GB Deep Blue MFYE4J (Esim),Cellshop,1545.0,8049.45,5432943,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-512gb-deep-blue-mfye4j-esim__5164358/,http://www.cellshop.com/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,Apple iPhone 17 Pro Max 512GB Cosmic Orange MFYT4BE (Nano Sim-Esim) Anatel Garantia Brasil,Cellshop,1540.0,8023.4,6011543,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-512gb-cosmic-orange-mfyt4be-nano-sim-esim-anatel-garantia-brasil__5591954/,http://www.cellshop.com/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,Apple iPhone 17 Pro Max 512GB Deep Blue MFXM4LL (Esim),Cellshop,1550.0,8075.5,5370320,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-512gb-deep-blue-mfxm4ll-esim__5020878/,http://www.cellshop.com/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,iPhone 17 Pro Max 512GB Orange A3257,Star Games,1535.0,7997.35,174152,https://www.comprasparaguai.com.br/iphone-17-pro-max-512gb-orange-a3257__5057649/,http://stargamespy.com/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,iPhone 17 Pro Max 512GB Blue A3257,Star Games,1545.0,8049.45,174176,https://www.comprasparaguai.com.br/iphone-17-pro-max-512gb-blue-a3257__5057643/,http://stargamespy.com/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,Celular Apple iPhone 17 Pro Max A3257 MFXL4LL/A 512GB Cosmic Orange,Shopping China,1600.0,8336.0,1011082,https://www.comprasparaguai.com.br/celular-apple-iphone-17-pro-max-a3257-mfxl4lla-512gb-cosmic-orange__5016708/,https://www.shoppingchina.com.br/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,Celular Apple iPhone 17 Pro Max 512GB Silver JP,Shopping China,1600.0,8336.0,1017031,https://www.comprasparaguai.com.br/celular-apple-iphone-17-pro-max-512gb-silver-jp__5488762/,https://www.shoppingchina.com.br/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,Celular Apple iPhone 17 Pro Max A3257 MFXM4LL/A 512GB Deep Blue,Shopping China,1610.0,8388.1,1011086,https://www.comprasparaguai.com.br/celular-apple-iphone-17-pro-max-a3257-mfxm4lla-512gb-deep-blue__5016711/,https://www.shoppingchina.com.br/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,Celular Apple iPhone 17 Pro Max 512GB Orange,Shopping China,1560.0,8127.6,1079227,https://www.comprasparaguai.com.br/celular-apple-iphone-17-pro-max-512gb-orange__5488855/,https://www.shoppingchina.com.br/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,Celular Apple iPhone 17 Pro Max A3525 MFYD4J/A 512GB Cosmic Orange,Shopping China,1600.0,8336.0,1017035,https://www.comprasparaguai.com.br/celular-apple-iphone-17-pro-max-a3525-mfyd4ja-512gb-cosmic-orange__5186137/,https://www.shoppingchina.com.br/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,Celular Apple iPhone 17 Pro Max 512GB Orange Be/A,Shopping China,1625.0,8466.25,1054389,https://www.comprasparaguai.com.br/celular-apple-iphone-17-pro-max-512gb-orange-bea__5364545/,https://www.shoppingchina.com.br/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,Celular Apple iPhone 17 Pro Max 512GB Deep Blue JP,Shopping China,1615.0,8414.15,1017030,https://www.comprasparaguai.com.br/celular-apple-iphone-17-pro-max-512gb-deep-blue-jp__5238457/,https://www.shoppingchina.com.br/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,iPhone 17 Pro Max 512GB Orange A3526 c/Chip + e- Sim Anatel,Mundo do Celular,1640.0,8544.4,154819,https://www.comprasparaguai.com.br/iphone-17-pro-max-512gb-orange-a3526-cchip-e-sim-anatel__5268185/,http://www.mundodocelular.com/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,Apple iPhone 17 Pro Max 512GB Jap-Esim Silver,Melody,1550.0,8075.5,7133-8,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-512gb-jap-esim-silver__5049188/,https://melody.com.py/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,Apple iPhone 17 Pro Max 512GB Ah -Esim Orange,Melody,1520.0,7919.2,7419-3,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-512gb-ah-esim-orange__5550223/,https://melody.com.py/
